#Front	Back	Quelle	Tags
Was ist der Beutelsbacher Konsens?	Tagungsergebnis 1976 (LpB Baden-Württemberg) mit drei Minimalbedingungen politischer Bildung: (1) Überwältigungsverbot, (2) Kontroversitätsgebot, (3) Schülerorientierung.	GPG B3 §1.1; bpb	MP_N18_Sk::Begriff MP_N18_Sk::Beutelsbach MP_N18_Sk::Hochprior
Was besagt das Überwältigungsverbot?	Erstes Beutelsbacher Prinzip: Lehrkraft darf SuS nicht überwältigen / indoktrinieren; SuS sollen sich eine eigene Meinung bilden können. Synonym: Indoktrinationsverbot.	GPG B3 §1.1	MP_N18_Sk::Begriff MP_N18_Sk::Beutelsbach MP_N18_Sk::Hochprior
Was besagt das Kontroversitätsgebot?	Zweites Beutelsbacher Prinzip: Was in Politik/Wissenschaft kontrovers ist, muss kontrovers im Unterricht erscheinen.	GPG B3 §1.1	MP_N18_Sk::Begriff MP_N18_Sk::Beutelsbach MP_N18_Sk::Hochprior
Was besagt das Schülerorientierungs-Prinzip (Beutelsbach)?	Drittes Beutelsbacher Prinzip: SuS sollen befähigt werden, die politische Situation der Gesellschaft und ihre eigene Position zu analysieren und Konsequenzen zu ziehen.	GPG B3 §1.1	MP_N18_Sk::Begriff MP_N18_Sk::Beutelsbach MP_N18_Sk::Hochprior
Was bedeutet politische Mündigkeit als Zielkategorie?	Selbstständig politisch urteilen und handeln können (Detjen). Nicht durch Belehrung erreichbar — methodisches Korrelat: Handlungsorientierung.	Detjen 2007	MP_N18_Sk::Begriff MP_N18_Sk::Detjen MP_N18_Sk::Hochprior
Was ist Handlungsorientierung in der Sk?	Didaktisches Leitprinzip (kein einzelnes Verfahren): aktive Aneignung von Politik durch die Lernenden selbst, mit Reflexion der Handlung als Bildungsmoment.	Reinhardt 2018; Massing 2012; LP:FPGPG	MP_N18_Sk::Begriff MP_N18_Sk::Handlungsorientierung MP_N18_Sk::Hochprior
Was unterscheidet Realhandeln von Simulationshandeln (Massing)?	Realhandeln = echte politische Partizipation (Klassenrat, SMV, Petition). Simulationshandeln = Planspiel, Rollenspiel, Gerichtssimulation. Beide sind legitime Realisierungen handlungsorientierter Sk.	Massing 2012	MP_N18_Sk::Begriff MP_N18_Sk::Massing MP_N18_Sk::Hochprior
Was ist das kasuistische Prinzip in der Sk?	„Ausschnitt aus der Wirklichkeit“ als didaktischer Zugang: konkreter Fall steht im Mittelpunkt, nicht systematische Inhaltsentfaltung. Trägt Fallanalyse, Aktualstunde, Lebensweltbezug.	GPG B3 §2.1.1	MP_N18_Sk::Begriff MP_N18_Sk::Methode
Was ist Multiperspektivität als didaktisches Prinzip?	Gleichzeitige Berücksichtigung verschiedener Standpunkte/Quellen zu einem Sachverhalt. Voraussetzung für rationale Urteilsbildung; LP+ verankert für GPG.	GPG GB §3.2; Sander 2014	MP_N18_Sk::Begriff MP_N18_Sk::Methode MP_N18_Sk::Hochprior
Was bedeutet Lebensweltbezug in der Sk?	Sk-Unterricht orientiert sich am unmittelbaren Umfeld und Alltag der SuS. Methodische Folge: Fallorientierung, Aktualstunde, Identifikationsfiguren.	LP:FPGPG; GPG GB §5.4	MP_N18_Sk::Begriff MP_N18_Sk::Prinzip MP_N18_Sk::Hochprior
Was ist die „Schule als Polis“?	Werterziehungsansatz, der Just-Community um die gestalterische Komponente erweitert: SuS gestalten Schule mit, „Es ist für mich bedeutsam“ + praktisches Handeln. Anker für Demokratielernen.	GPG B3 §1.2	MP_N18_Sk::Begriff MP_N18_Sk::Werterziehung
Was ist das Just-Community-Konzept?	Werterziehungsansatz nach Kohlberg/Power: SuS sind für Schul-/Klassenkonflikte selbst verantwortlich (z. B. Fairness-Komitees). Reaktiv-konfliktorientiert; Wirkungsbereich gilt als zu schmal.	GPG B3 §1.2	MP_N18_Sk::Begriff MP_N18_Sk::Werterziehung
Was kritisiert die Sk-Didaktik an der Dilemmadiskussion (Kohlberg)?	Kognitiv urteilsbildend, aber moralisch folgenarm — als Propädeutik politischen Handelns ungeeignet.	GPG B3 §1.2	MP_N18_Sk::Begriff MP_N18_Sk::Werterziehung
Was ist Demokratielernen?	Übergreifendes Bildungsziel und Schulleitprinzip; Demokratie als Lebensform (Dewey), Gesellschaftsform und Herrschaftsform. Operativer Anker: Klassenrat, SMV, Schule-als-Polis.	LP:ÜBZ; Dewey; Sander 2014	MP_N18_Sk::Begriff MP_N18_Sk::Demokratielernen MP_N18_Sk::Hochprior
Was sind Klafkis Schlüsselprobleme?	Epochaltypische Schlüsselprobleme (Krieg/Frieden, Umweltfrage, Ungleichheit, Technik, interkulturelles Zusammenleben) als kategorialer Bildungsanker; rechtfertigt Aktualität und Problemorientierung.	Klafki	MP_N18_Sk::Begriff MP_N18_Sk::Allg-Didaktik
