#Front	Back	Quelle	Tags
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Antike Hochkultur — Gesellschaftsordnung Ägypten“ — und mit welchem Operator?	GPG5 LB3 (Zug R+M)  ·  Operator: darstellen / erklären  ·  AFB I–II<br><br>Wortlaut: „stellen die unterschiedlichen Lebens- und Arbeitsbedingungen der Menschen im alten Ägypten dar und erklären anhand der hierarchisch aufgebauten Gesellschaftspyramide deren unterschiedliche Stellung und Macht in der Hochkultur.“	LehrplanPLUS MS Bayern · GPG5 · LB3 Politik und Gesellschaft | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB3 idealtypisch Verortung
GPG5 LB3 „stellen die unterschiedlichen Lebens- und Arbeitsbedingungen der Menschen im alten Ägypten dar und erklären anhand der h...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: Sequenz „Wer hatte die Macht im alten Ägypten?“ — Gesellschaftspyramide als Strukturmodell<br><br>Verlauf: Bildimpuls Pyramidenbau → arbeitsteilige Erarbeitung der Schichten (Pharao / Beamte+Priester / Handwerker+Bauern / Sklaven) → SuS bauen die Pyramide als Tafelbild selbst → Transfer „Wer entscheidet, wer arbeitet?“ → Vergleich mit heutiger Gesellschaft.<br><br>Prinzipien: Kompetenzstrukturmodell GPG, Multiperspektivität	LehrplanPLUS MS Bayern · GPG5 · LB3 Politik und Gesellschaft | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB3 idealtypisch Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Antike Demokratie — Volksversammlung Griechenland“ — und mit welchem Operator?	GPG5 LB3 (Zug R+M)  ·  Operator: beschreiben / beurteilen  ·  AFB I + III<br><br>Wortlaut: „beschreiben Zusammensetzung und Befugnisse der Volksversammlung im antiken Griechenland und beurteilen diese Form der Mitsprache für die Bürgerinnen und Bürger als ersten Ansatz von Demokratie.“	LehrplanPLUS MS Bayern · GPG5 · LB3 Politik und Gesellschaft | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB3 idealtypisch Anker Verortung
GPG5 LB3 „beschreiben Zusammensetzung und Befugnisse der Volksversammlung im antiken Griechenland und beurteilen diese Form der Mi...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: Sequenz „War das schon Demokratie?“ — Volksversammlung als Urteilsgegenstand<br><br>Verlauf: Rekonstruktion der Ekklesia (wer durfte mitreden? Männer/Bürger — keine Frauen, keine Sklaven) → SuS simulieren eine Abstimmung → Urteilsfrage „War das gerecht?“ an der Meinungslinie → Bezug zur eigenen Klassensprecherwahl.<br><br>Prinzipien: Demokratielernen / Schule als Polis, Politische Urteilsbildung / Pro-Contra, Mündigkeit (Detjen)	LehrplanPLUS MS Bayern · GPG5 · LB3 Politik und Gesellschaft | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB3 idealtypisch Anker Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Konflikte — Regeln für friedliches Zusammenleben“ — und mit welchem Operator?	GPG5 LB4 (Zug R+M)  ·  Operator: beschreiben / formulieren  ·  AFB I–II<br><br>Wortlaut: „beschreiben Konfliktsituationen aus ihrem Alltag (z. B. Peergroup, Familie, Schule) und formulieren Regeln für ein friedliches und gewaltfreies Zusammenleben in ihrem sozialen Umfeld.“	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt | idealtypisch — angelehnt an reales Antigewalt-/Antiaggressionstraining GPG7c 10.11.2025 (Belegcluster B), dort höhere Jgst.	MP_N18_Sk_KE GPG5 LB4 idealtypisch Verortung
GPG5 LB4 „beschreiben Konfliktsituationen aus ihrem Alltag (z. B. Peergroup, Familie, Schule) und formulieren Regeln für ein fried...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: Sequenz „Streit — und dann?“ — Konfliktregeln selbst erarbeiten<br><br>Verlauf: Fallkarten mit Alltagskonflikten → Rollenspiel „Konflikt nachstellen und anders lösen“ → SuS formulieren Klassenregeln → Plakat als verbindliches Klassen-Produkt.<br><br>Prinzipien: Handlungsorientierung, Rollenspiel, Lebensweltbezug	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt | idealtypisch — angelehnt an reales Antigewalt-/Antiaggressionstraining GPG7c 10.11.2025 (Belegcluster B), dort höhere Jgst.	MP_N18_Sk_KE GPG5 LB4 idealtypisch Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Demokratische Verhaltensweisen — Klassenrat“ — und mit welchem Operator?	GPG5 LB4 (Zug R+M)  ·  Operator: anwenden / mitgestalten  ·  AFB III (Anwendung / Handlung)<br><br>Wortlaut: „wenden demokratische Verhaltensweisen (z. B. bei Klassensprecherwahl, Klassenrat) an, und gestalten ein friedliches und respektvolles Zusammenleben in Familie, Schule und Gesellschaft mit, indem sie z. B. aktiv zuhören, ihre Standpunkte artikulieren, Gesprächsregeln einhalten, argumentieren und verhandeln, Kompromisse finden, Entscheidungen treffen, Beschlüsse fassen und diese in sozialer Verantwortung umsetzen.“	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt — wirkt als Schulleitprinzip in allen Jgst. | Belegcluster E · Wochenpläne_Timeline_GPG7c · Verlauf_27.04.md	MP_N18_Sk_KE GPG5 LB4 real Anker Verortung
GPG5 LB4 „wenden demokratische Verhaltensweisen (z. B. bei Klassensprecherwahl, Klassenrat) an, und gestalten ein friedliches und ...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [real]: Klassenrat als ritualisierte Demokratiepraxis (GPG7c (Hauptanker), 17.10.2025 · 01.12.2025 · 02.02.2026 · 27.04.2026 (4× durchgeführt))<br><br>Verlauf: Themenspeicher von SuS gesetzt → Sitzungsleitung rotiert → Aussprache mit Gesprächsregeln → Mehrheitsbeschluss → Umsetzung in Verantwortung. 27.04.2026: Mobbingvorfall als Konfliktbearbeitung in einer Doppelstunde.<br><br>Prinzipien: Demokratielernen / Schule als Polis, Handlungsorientierung — Realhandeln, Beutelsbacher Konsens, Werterziehung	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt — wirkt als Schulleitprinzip in allen Jgst. | Belegcluster E · Wochenpläne_Timeline_GPG7c · Verlauf_27.04.md	MP_N18_Sk_KE GPG5 LB4 real Anker Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Familiärer Wandel — Formen des Zusammenlebens“ — und mit welchem Operator?	GPG5 LB4 (Zug R+M)  ·  Operator: darstellen / beschreiben / diskutieren  ·  AFB II–III<br><br>Wortlaut: „stellen Ursachen für den aktuellen familiären Wandel in der Gesellschaft dar, indem sie die Entwicklung unterschiedlicher Formen des Zusammenlebens (z. B. Partnerschaft bzw. Ehe mit und ohne Kinder, Patchworkfamilie, gleichgeschlechtliche Partnerschaften) beschreiben und diskutieren.“	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB4 idealtypisch Verortung
GPG5 LB4 „stellen Ursachen für den aktuellen familiären Wandel in der Gesellschaft dar, indem sie die Entwicklung unterschiedliche...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: Sequenz „Familie heute“ — Vielfalt der Lebensformen<br><br>Verlauf: anonyme Kartenabfrage „Wer gehört zu deiner Familie?“ → Statistik-Auswertung Familienformen heute/früher → Diskussion „Was macht eine Familie aus?“ → Beutelsbach-sensible Moderation.<br><br>Prinzipien: Beutelsbacher Konsens, Lebensweltbezug, Multiperspektivität	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB4 idealtypisch Umsetzung
